Set,MAE,RMSE,R2,MaxAE,MeanRelError_pct
Train,0.201117662160796,0.289515364866065,0.994706443664858,1.45676824075463,0.0706659526625465
Val,0.178930201666953,0.291582403252504,0.994562795392985,1.08386248774661,0.0632421522451803
Test,0.349084888246296,0.581157974075414,0.978731673240639,2.29584009596834,0.122387880083849
