Set,MAE,RMSE,R2,MaxAE,MeanRelError_pct
Train,0.0798671475189895,0.109715786930614,0.999239774295227,0.471149343420791,0.0279390138296799
Val,0.0904697422189635,0.115277177741324,0.999150154997901,0.249997302845372,0.0318533858907194
Test,0.213429905836031,0.332187641047172,0.993051167184174,0.993212918457118,0.0748111302701079
